Colostygia olivata,Geometridae,Larentiinae,Colostygia,olivata
Green Carpet,Geometridae,Larentiinae,Colostygia,pectinataria
Colostygia pectinataria,Geometridae,Larentiinae,Colostygia,pectinataria
Mottled Grey,Geometridae,Larentiinae,Colostygia,multistrigaria
Colostygia multistrigaria,Geometridae,Larentiinae,Colostygia,multistrigaria
Striped Twin-spot Carpet,Geometridae,Larentiinae,Coenotephria,salicata
Coenotephria salicata,Geometridae,Larentiinae,Coenotephria,salicata
Water Carpet,Geometridae,Larentiinae,Lampropteryx,suffumata
Lampropteryx suffumata,Geometridae,Larentiinae,Lampropteryx,suffumata
Devon Carpet,Geometridae,Larentiinae,Lampropteryx,otregiata
Lampropteryx otregiata,Geometridae,Larentiinae,Lampropteryx,otregiata
Northern Winter Moth,Geometridae,Larentiinae,Operophtera,fagata
Operophtera fagata,Geometridae,Larentiinae,Operophtera,fagata
Winter Moth,Geometridae,Larentiinae,Operophtera,brumata
Operophtera brumata,Geometridae,Larentiinae,Operophtera,brumata
November Moth,Geometridae,Larentiinae,Epirrita,dilutata
Epirrita dilutata,Geometridae,Larentiinae,Epirrita,dilutata
Pale November Moth,Geometridae,Larentiinae,Epirrita,christyi
Epirrita christyi,Geometridae,Larentiinae,Epirrita,christyi
Autumnal Moth,Geometridae,Larentiinae,Epirrita,autumnata
Epirrita autumnata,Geometridae,Larentiinae,Epirrita,autumnata
Small Autumnal Moth,Geometridae,Larentiinae,Epirrita,filigrammaria
Epirrita filigrammaria,Geometridae,Larentiinae,Epirrita,filigrammaria
Small White Wave,Geometridae,Larentiinae,Asthena,albulata
Asthena albulata,Geometridae,Larentiinae,Asthena,albulata
Dingy Shell,Geometridae,Larentiinae,Euchoeca,nebulata
Euchoeca nebulata,Geometridae,Larentiinae,Euchoeca,nebulata
Waved Carpet,Geometridae,Larentiinae,Hydrelia,sylvata
Hydrelia sylvata,Geometridae,Larentiinae,Hydrelia,sylvata
Small Yellow Wave,Geometridae,Larentiinae,Hydrelia,flammeolaria
Hydrelia flammeolaria,Geometridae,Larentiinae,Hydrelia,flammeolaria
Welsh Wave,Geometridae,Larentiinae,Venusia,cambrica
Venusia cambrica,Geometridae,Larentiinae,Venusia,cambrica
Blomer's Rivulet,Geometridae,Larentiinae,Venusia,blomeri
Venusia blomeri,Geometridae,Larentiinae,Venusia,blomeri
Drab Looper,Geometridae,Larentiinae,Minoa,murinata
Minoa murinata,Geometridae,Larentiinae,Minoa,murinata
Brown Scallop,Geometridae,Larentiinae,Philereme,vetulata
Philereme vetulata,Geometridae,Larentiinae,Philereme,vetulata
Dark Umber,Geometridae,Larentiinae,Philereme,transversata
Philereme transversata,Geometridae,Larentiinae,Philereme,transversata
Argent & Sable,Geometridae,Larentiinae,Rheumaptera,hastata
Rheumaptera hastata,Geometridae,Larentiinae,Rheumaptera,hastata
Scallop Shell,Geometridae,Larentiinae,Hydria,undulata
Hydria undulata,Geometridae,Larentiinae,Hydria,undulata
Scarce Tissue,Geometridae,Larentiinae,Hydria,cervinalis
Hydria cervinalis,Geometridae,Larentiinae,Hydria,cervinalis
The Tissue,Geometridae,Larentiinae,Triphosa,dubitata
Triphosa dubitata,Geometridae,Larentiinae,Triphosa,dubitata
Barberry Carpet,Geometridae,Larentiinae,Pareulype,berberata
Pareulype berberata,Geometridae,Larentiinae,Pareulype,berberata
Slender-striped Rufous,Geometridae,Larentiinae,Coenocalpe,lapidata
Coenocalpe lapidata,Geometridae,Larentiinae,Coenocalpe,lapidata
Small Waved Umber,Geometridae,Larentiinae,Horisme,vitalbata
Horisme vitalbata,Geometridae,Larentiinae,Horisme,vitalbata
The Fern,Geometridae,Larentiinae,Horisme,tersata
Horisme tersata,Geometridae,Larentiinae,Horisme,tersata
